StationName,ParameterName,ReadingDate,Value,Zone
Woodcroft,Relative Humidity,2025-05-19T21:00:00-06:00,69.7,ACA
Woodcroft,Fine Particulate Matter,2025-05-19T20:00:00-06:00,6.9,ACA
Woodcroft,Wind Direction,2025-05-19T20:00:00-06:00,99.0,ACA
Woodcroft,Wind Speed,2025-05-19T20:00:00-06:00,10.3,ACA
Woodcroft,Nitrogen Dioxide,2025-05-19T20:00:00-06:00,0.004,ACA
Woodcroft,Ozone,2025-05-19T20:00:00-06:00,0.021,ACA
Woodcroft,Relative Humidity,2025-05-19T20:00:00-06:00,64.7,ACA
Woodcroft,Total Oxides of Nitrogen,2025-05-19T20:00:00-06:00,0.004,ACA
Woodcroft,Sulphur Dioxide,2025-05-19T20:00:00-06:00,0.0,ACA
Woodcroft,Nitric Oxide,2025-05-19T20:00:00-06:00,0.0,ACA
Woodcroft,Outdoor Temperature,2025-05-19T20:00:00-06:00,9.0,ACA
Woodcroft,,2025-05-19T20:00:00-06:00,2.0,ACA
Woodcroft,Nitric Oxide,2025-05-19T19:00:00-06:00,0.0,ACA
Woodcroft,Ozone,2025-05-19T19:00:00-06:00,0.024,ACA
Woodcroft,Relative Humidity,2025-05-19T19:00:00-06:00,61.6,ACA
Woodcroft,Wind Speed,2025-05-19T19:00:00-06:00,11.8,ACA
Woodcroft,Fine Particulate Matter,2025-05-19T19:00:00-06:00,6.4,ACA
Woodcroft,Outdoor Temperature,2025-05-19T19:00:00-06:00,9.2,ACA
Woodcroft,Wind Direction,2025-05-19T19:00:00-06:00,128.0,ACA
Woodcroft,,2025-05-19T19:00:00-06:00,2.0,ACA
Woodcroft,Total Oxides of Nitrogen,2025-05-19T19:00:00-06:00,0.003,ACA
Woodcroft,Nitrogen Dioxide,2025-05-19T19:00:00-06:00,0.003,ACA
Woodcroft,Sulphur Dioxide,2025-05-19T19:00:00-06:00,0.0,ACA
Woodcroft,Nitric Oxide,2025-05-19T18:00:00-06:00,0.0,ACA
Woodcroft,Relative Humidity,2025-05-19T18:00:00-06:00,62.8,ACA
Woodcroft,Ozone,2025-05-19T18:00:00-06:00,0.023,ACA
Woodcroft,Outdoor Temperature,2025-05-19T18:00:00-06:00,8.8,ACA
Woodcroft,Fine Particulate Matter,2025-05-19T18:00:00-06:00,6.5,ACA
Woodcroft,Wind Direction,2025-05-19T18:00:00-06:00,119.0,ACA
Woodcroft,Sulphur Dioxide,2025-05-19T18:00:00-06:00,0.0,ACA
Woodcroft,,2025-05-19T18:00:00-06:00,2.0,ACA
Woodcroft,Wind Speed,2025-05-19T18:00:00-06:00,12.2,ACA
Woodcroft,Total Oxides of Nitrogen,2025-05-19T18:00:00-06:00,0.003,ACA
Woodcroft,Nitrogen Dioxide,2025-05-19T18:00:00-06:00,0.003,ACA
Woodcroft,Nitric Oxide,2025-05-19T17:00:00-06:00,0.0,ACA
Woodcroft,Fine Particulate Matter,2025-05-19T17:00:00-06:00,6.0,ACA
Woodcroft,Total Oxides of Nitrogen,2025-05-19T17:00:00-06:00,0.003,ACA
Woodcroft,Wind Speed,2025-05-19T17:00:00-06:00,14.2,ACA
Woodcroft,Ozone,2025-05-19T17:00:00-06:00,0.025,ACA
Woodcroft,,2025-05-19T17:00:00-06:00,2.0,ACA
Woodcroft,Nitrogen Dioxide,2025-05-19T17:00:00-06:00,0.002,ACA
Woodcroft,Wind Direction,2025-05-19T17:00:00-06:00,124.0,ACA
Woodcroft,Sulphur Dioxide,2025-05-19T17:00:00-06:00,0.0,ACA
Woodcroft,Relative Humidity,2025-05-19T17:00:00-06:00,61.8,ACA
Woodcroft,Outdoor Temperature,2025-05-19T17:00:00-06:00,8.7,ACA
Woodcroft,Ozone,2025-05-19T16:00:00-06:00,0.026,ACA
Woodcroft,Wind Speed,2025-05-19T16:00:00-06:00,14.1,ACA
Woodcroft,Wind Direction,2025-05-19T16:00:00-06:00,130.0,ACA
Woodcroft,Nitrogen Dioxide,2025-05-19T16:00:00-06:00,0.002,ACA
Woodcroft,Fine Particulate Matter,2025-05-19T16:00:00-06:00,4.2,ACA
Woodcroft,,2025-05-19T16:00:00-06:00,2.0,ACA
