Value,StationName,ParameterName,ReadingDate,Zone
169.0,Breton,Wind Direction,2026-02-14T06:00:00-07:00,WCAS
0.003,Breton,Nitrogen Dioxide,2026-02-14T06:00:00-07:00,WCAS
2.1,Breton,Wind Speed,2026-02-14T06:00:00-07:00,WCAS
0.0,Breton,Nitric Oxide,2026-02-14T06:00:00-07:00,WCAS
0.0,Breton,Sulphur Dioxide,2026-02-14T06:00:00-07:00,WCAS
0.021,Breton,Ozone,2026-02-14T05:00:00-07:00,WCAS
0.002,Breton,Nitrogen Dioxide,2026-02-14T05:00:00-07:00,WCAS
0.002,Breton,Total Oxides of Nitrogen,2026-02-14T05:00:00-07:00,WCAS
-8.2,Breton,Outdoor Temperature,2026-02-14T05:00:00-07:00,WCAS
325.0,Breton,Wind Direction,2026-02-14T05:00:00-07:00,WCAS
82.4,Breton,Relative Humidity,2026-02-14T05:00:00-07:00,WCAS
0.0,Breton,Nitric Oxide,2026-02-14T05:00:00-07:00,WCAS
1.6,Breton,Wind Speed,2026-02-14T05:00:00-07:00,WCAS
0.0,Breton,Sulphur Dioxide,2026-02-14T05:00:00-07:00,WCAS
80.3,Breton,Relative Humidity,2026-02-14T04:00:00-07:00,WCAS
0.8,Breton,Wind Speed,2026-02-14T04:00:00-07:00,WCAS
,Breton,Sulphur Dioxide,2026-02-14T04:00:00-07:00,WCAS
,Breton,Total Oxides of Nitrogen,2026-02-14T04:00:00-07:00,WCAS
,Breton,Nitric Oxide,2026-02-14T04:00:00-07:00,WCAS
,Breton,Ozone,2026-02-14T04:00:00-07:00,WCAS
,Breton,Nitrogen Dioxide,2026-02-14T04:00:00-07:00,WCAS
-7.9,Breton,Outdoor Temperature,2026-02-14T04:00:00-07:00,WCAS
346.0,Breton,Wind Direction,2026-02-14T04:00:00-07:00,WCAS
0.003,Breton,Total Oxides of Nitrogen,2026-02-14T03:00:00-07:00,WCAS
-7.5,Breton,Outdoor Temperature,2026-02-14T03:00:00-07:00,WCAS
0.0,Breton,Nitric Oxide,2026-02-14T03:00:00-07:00,WCAS
